r 𝛙_1 𝛙_2 𝛙_3 
0.1 0.179864 -0.0636911 0.0426098 
0.200505 0.325534 -0.114802 0.0767395 
0.30101 0.441953 -0.154745 0.10329 
0.401515 0.53338 -0.18479 0.12308 
0.50202 0.603516 -0.206088 0.13686 
0.602525 0.655579 -0.219685 0.145322 
0.70303 0.692367 -0.226534 0.149104 
0.803535 0.716307 -0.227499 0.148791 
0.90404 0.729506 -0.223366 0.144922 
1.00455 0.733783 -0.214843 0.137988 
1.10505 0.73071 -0.202575 0.128444 
1.20556 0.721642 -0.187142 0.116701 
1.30606 0.70774 -0.169067 0.103137 
1.40657 0.690003 -0.148822 0.0880959 
1.50707 0.669282 -0.12683 0.0718885 
1.60758 0.646299 -0.103468 0.054798 
1.70808 0.62167 -0.079075 0.0370796 
1.80859 0.595913 -0.0539519 0.0189636 
1.90909 0.56946 -0.0283657 0.000656625 
2.0096 0.542676 -0.00255257 -0.0176566 
2.1101 0.51586 0.0232796 -0.0358115 
2.21061 0.489258 0.0489488 -0.0536623 
2.31111 0.46307 0.0742963 -0.0710804 
2.41162 0.437456 0.0991847 -0.0879534 
2.51212 0.412542 0.123496 -0.104184 
2.61263 0.388425 0.14713 -0.119687 
2.71313 0.365177 0.170002 -0.134392 
2.81364 0.34285 0.192041 -0.148239 
2.91414 0.321478 0.213191 -0.161178 
3.01465 0.301081 0.233405 -0.17317 
3.11515 0.281664 0.252649 -0.184183 
3.21566 0.263225 0.270896 -0.194196 
3.31616 0.245754 0.288129 -0.203192 
3.41667 0.229232 0.304337 -0.211162 
3.51717 0.213635 0.319517 -0.218105 
3.61768 0.198938 0.333671 -0.224022 
3.71818 0.185109 0.346806 -0.228921 
3.81869 0.172115 0.358935 -0.232815 
3.91919 0.159923 0.370072 -0.235718 
4.0197 0.148497 0.380236 -0.237651 
4.1202 0.137801 0.38945 -0.238635 
4.22071 0.127799 0.397738 -0.238697 
4.32121 0.118457 0.405125 -0.237862 
4.42172 0.109738 0.41164 -0.23616 
4.52222 0.101608 0.417313 -0.233624 
4.62273 0.0940339 0.422172 -0.230284 
4.72323 0.0869835 0.42625 -0.226174 
4.82374 0.0804253 0.429579 -0.22133 
4.92424 0.0743293 0.432189 -0.215786 
5.02475 0.0686668 0.434114 -0.209578 
5.12525 0.0634103 0.435386 -0.202742 
5.22576 0.0585337 0.436037 -0.195315 
5.32626 0.0540122 0.436098 -0.187333 
5.42677 0.0498223 0.435601 -0.178832 
5.52727 0.0459416 0.434577 -0.169848 
5.62778 0.0423492 0.433056 -0.160417 
5.72828 0.0390252 0.431069 -0.150574 
5.82879 0.0359511 0.428643 -0.140353 
5.92929 0.0331093 0.425807 -0.129789 
6.0298 0.0304834 0.42259 -0.118915 
6.1303 0.028058 0.419016 -0.107764 
6.23081 0.0258186 0.415113 -0.0963673 
6.33131 0.0237518 0.410905 -0.0847563 
6.43182 0.0218449 0.406416 -0.072961 
6.53232 0.0200862 0.40167 -0.0610108 
6.63283 0.0184648 0.396687 -0.0489338 
6.73333 0.0169703 0.391491 -0.0367575 
6.83384 0.0155933 0.386101 -0.0245082 
6.93434 0.014325 0.380537 -0.0122114 
7.03485 0.013157 0.374817 0.000108696 
7.13535 0.0120818 0.368959 0.0124285 
7.23586 0.0110923 0.362981 0.0247258 
7.33636 0.0101819 0.356898 0.0369791 
7.43687 0.00934442 0.350725 0.049168 
7.53737 0.00857427 0.344477 0.0612731 
7.63788 0.0078662 0.338168 0.0732759 
7.73838 0.00721536 0.33181 0.0851591 
7.83889 0.00661725 0.325417 0.0969061 
7.93939 0.00606772 0.318998 0.108501 
8.0399 0.00556294 0.312566 0.11993 
8.1404 0.00509936 0.306129 0.131179 
8.24091 0.00467369 0.299699 0.142234 
8.34141 0.00428292 0.293283 0.153084 
8.44192 0.00392426 0.28689 0.163719 
8.54242 0.00359512 0.280527 0.174126 
8.64293 0.00329313 0.274202 0.184298 
8.74343 0.0030161 0.267921 0.194224 
8.84394 0.00276201 0.26169 0.203898 
8.94444 0.002529 0.255516 0.213311 
9.04495 0.00231536 0.249402 0.222457 
9.14545 0.0021195 0.243355 0.231331 
9.24596 0.00193997 0.237377 0.239927 
9.34646 0.00177545 0.231474 0.24824 
9.44697 0.00162468 0.225649 0.256266 
9.54747 0.00148656 0.219904 0.264003 
9.64798 0.00136002 0.214243 0.271446 
9.74848 0.00124412 0.208668 0.278594 
9.84899 0.00113798 0.203182 0.285445 
9.94949 0.00104078 0.197786 0.291997 
10.05 0.00095179 0.192482 0.298251 
10.1505 0.000870321 0.187271 0.304204 
10.251 0.000795747 0.182156 0.309858 
10.3515 0.000727493 0.177135 0.315212 
10.452 0.000665031 0.172211 0.320268 
10.5525 0.000607876 0.167383 0.325026 
10.653 0.000555582 0.162653 0.329489 
10.7535 0.000507742 0.15802 0.333658 
10.854 0.000463981 0.153484 0.337535 
10.9545 0.000423955 0.149045 0.341122 
11.0551 0.00038735 0.144704 0.344423 
11.1556 0.000353876 0.140458 0.347439 
11.2561 0.000323268 0.136309 0.350176 
11.3566 0.000295285 0.132254 0.352634 
11.4571 0.000269702 0.128294 0.35482 
11.5576 0.000246317 0.124428 0.356735 
11.6581 0.000224943 0.120654 0.358385 
11.7586 0.000205408 0.116972 0.359772 
11.8591 0.000187556 0.113381 0.360902 
11.9596 0.000171243 0.109879 0.361779 
12.0601 0.000156338 0.106466 0.362408 
12.1606 0.00014272 0.103139 0.362792 
12.2611 0.00013028 0.0998979 0.362937 
12.3616 0.000118916 0.0967413 0.362848 
12.4621 0.000108536 0.0936676 0.362529 
12.5626 9.90558e-05 0.0906755 0.361985 
12.6631 9.03978e-05 0.0877634 0.361222 
12.7636 8.24914e-05 0.08493 0.360244 
12.8641 7.52718e-05 0.0821737 0.359056 
12.9646 6.86799e-05 0.0794931 0.357664 
13.0652 6.26615e-05 0.0768867 0.356072 
13.1657 5.71671e-05 0.0743528 0.354286 
13.2662 5.21514e-05 0.0718901 0.352311 
13.3667 4.75731e-05 0.0694969 0.350152 
13.4672 4.33942e-05 0.0671718 0.347814 
13.5677 3.95802e-05 0.0649132 0.345302 
13.6682 3.60995e-05 0.0627196 0.342621 
13.7687 3.29231e-05 0.0605895 0.339776 
13.8692 3.00245e-05 0.0585214 0.336772 
13.9697 2.73797e-05 0.0565137 0.333615 
14.0702 2.49666e-05 0.054565 0.330308 
14.1707 2.2765e-05 0.0526738 0.326858 
14.2712 2.07564e-05 0.0508387 0.323268 
14.3717 1.89241e-05 0.0490582 0.319543 
14.4722 1.72527e-05 0.0473308 0.315689 
14.5727 1.57282e-05 0.0456552 0.311709 
14.6732 1.43377e-05 0.0440299 0.307608 
14.7737 1.30695e-05 0.0424536 0.303392 
14.8742 1.19128e-05 0.040925 0.299063 
14.9747 1.08581e-05 0.0394426 0.294627 
15.0753 9.89621e-06 0.0380051 0.290087 
15.1758 9.01913e-06 0.0366113 0.285449 
15.2763 8.21938e-06 0.0352599 0.280715 
15.3768 7.49019e-06 0.0339497 0.275891 
15.4773 6.82537e-06 0.0326793 0.270979 
15.5778 6.21926e-06 0.0314475 0.265985 
15.6783 5.66669e-06 0.0302533 0.26091 
15.7788 5.16295e-06 0.0290953 0.25576 
15.8793 4.70375e-06 0.0279725 0.250538 
15.9798 4.28515e-06 0.0268837 0.245247 
16.0803 3.90359e-06 0.0258277 0.23989 
16.1808 3.5558e-06 0.0248036 0.234472 
16.2813 3.2388e-06 0.0238103 0.228995 
16.3818 2.94988e-06 0.0228466 0.223462 
16.4823 2.68653e-06 0.0219116 0.217876 
16.5828 2.4465e-06 0.0210042 0.21224 
16.6833 2.22773e-06 0.0201235 0.206558 
16.7838 2.02832e-06 0.0192685 0.200832 
16.8843 1.84656e-06 0.0184382 0.195064 
16.9848 1.68087e-06 0.0176318 0.189257 
17.0854 1.52983e-06 0.0168482 0.183413 
17.1859 1.39215e-06 0.0160866 0.177536 
17.2864 1.26664e-06 0.015346 0.171627 
17.3869 1.1522e-06 0.0146258 0.165688 
17.4874 1.04783e-06 0.0139249 0.159722 
17.5879 9.52615e-07 0.0132425 0.153731 
17.6884 8.65747e-07 0.0125779 0.147717 
17.7889 7.86456e-07 0.0119302 0.14168 
17.8894 7.14057e-07 0.0112986 0.135624 
17.9899 6.47917e-07 0.0106823 0.129551 
18.0904 5.87472e-07 0.0100806 0.12346 
18.1909 5.32202e-07 0.00949274 0.117355 
18.2914 4.81612e-07 0.00891792 0.111236 
18.3919 4.35263e-07 0.00835542 0.105106 
18.4924 3.92742e-07 0.00780452 0.0989644 
18.5929 3.53676e-07 0.00726449 0.0928134 
18.6934 3.17724e-07 0.00673464 0.0866541 
18.7939 2.84568e-07 0.00621425 0.0804874 
18.8944 2.53935e-07 0.00570263 0.0743143 
18.9949 2.25553e-07 0.00519908 0.0681357 
19.0955 1.99173e-07 0.00470294 0.0619526 
19.196 1.74555e-07 0.00421351 0.0557656 
19.2965 1.51471e-07 0.00373012 0.0495754 
19.397 1.29726e-07 0.0032521 0.0433827 
19.4975 1.09123e-07 0.00277877 0.0371879 
19.598 8.94858e-08 0.00230947 0.0309917 
19.6985 7.06423e-08 0.00184354 0.0247943 
19.799 5.24233e-08 0.00138029 0.0185963 
19.8995 3.46832e-08 0.000919067 0.0123977 
20 1.72587e-08 0.000459195 0.0061989 
